2021-Jul-22 16:55:42 [RMI TCP Connection(20)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2021-Jul-22 16:55:56 [restartedMain] INFO  o.s.b.a.e.w.EndpointLinksResolver                  - Exposing 6 endpoint(s) beneath base path '/actuator'
2021-Jul-22 16:55:56 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8080"]
2021-Jul-22 16:55:56 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (http) with context path ''
2021-Jul-22 16:55:56 [restartedMain] INFO  i.s.d.t.TodoAppApplication                         - Started TodoAppApplication in 3.303 seconds (JVM running for 4.135)
2021-Jul-22 16:55:57 [RMI TCP Connection(10)-127.0.0.1] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-Jul-22 16:55:57 [RMI TCP Connection(10)-127.0.0.1] INFO  o.s.w.s.DispatcherServlet                          - Initializing Servlet 'dispatcherServlet'
2021-Jul-22 16:55:57 [RMI TCP Connection(10)-127.0.0.1] INFO  o.s.w.s.DispatcherServlet                          - Completed initialization in 5 ms
2021-Jul-22 16:57:11 [Thread-5] INFO  o.s.s.c.ThreadPoolTaskExecutor                     - Shutting down ExecutorService 'threadPoolTaskExecutor'
2021-Jul-22 16:57:11 [Thread-5] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-Jul-22 16:57:11 [Thread-5] WARN  o.s.b.f.s.DisposableBeanAdapter                    - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2021-Jul-22 16:57:11 [Thread-5] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated...
2021-Jul-22 16:57:11 [Thread-5] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed.
2021-Jul-22 16:57:58 [restartedMain] INFO  i.s.d.t.TodoAppApplication                         - Starting TodoAppApplication on DESKTOP-84GIE8L with PID 10908 (D:\projects\spring\spring-part-3\todo-app\target\classes started by prathap.a in D:\projects\spring\spring-part-3\todo-app)
2021-Jul-22 16:57:58 [restartedMain] INFO  i.s.d.t.TodoAppApplication                         - No active profile set, falling back to default profiles: default
2021-Jul-22 16:57:58 [restartedMain] INFO  o.s.b.d.r.ChangeableUrls                           - The Class-Path manifest attribute in C:\Users\prathap.a\.m2\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2021-Jul-22 16:57:58 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-Jul-22 16:57:58 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-Jul-22 16:57:59 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data repositories in DEFAULT mode.
